Speaker	Title	Date	Time (US/Eastern)
Ksenia Peguero	TBA	12/16/2020	1600
Evan Sultanik	TBA	12/16/2020	1645
Stefan Edwards	TBA	12/16/2020	1730
James Wickett	TBA	12/16/2020	1815
Adam Schaal	Automating Vuln Mgmt	12/16/2020	1900
Eric Johnson	Serverless Security	12/16/2020	1945
Jennifer Chermoshynuk	Privacy	12/16/2020	2030
Dominik Czarnota	TBA	12/17/2020	1600
Naomi Buckwalter	How to get DevOps to care about security	12/17/2020	1645
Jeff Williams	JOT	12/17/2020	1730
Evan Johnson	TBA	12/17/2020	1815
Aaron Rinehart	TBA	12/17/2020	1900
Clea	Insider Threat	12/17/2020	1945
TBA	Privacy	12/17/2020	2030
